Paramètres,Numéro,Protocole,dead_nodes,duration,energy,messages_forwarded,messages_initiated,msg_recv,msg_sent,rrep_sent,rreq_forwarded,rreq_sent,seuiled
Set1,0,Modified,7,83.32360166118809,175743.9448906105,1827,819,625,691,271,482329,367,18
Set1,0,Regular,7,845.1180513029769,216077.73991867935,20923,8102,7142,7173,2788,398288,3713,0
Set2,1,Modified,7,85.99014281237903,204621.1513694608,1852,840,611,730,273,582163,350,18
Set2,1,Regular,7,841.2838477181227,216289.37273364,19698,7929,7097,7125,2799,442556,3595,0
Set3,2,Modified,7,423.4636541376434,188410.45542289136,1841,3503,982,1004,258,449841,2751,16
Set3,2,Regular,7,1440.8726789489024,198988.21478862563,12480,13019,5252,5270,1557,385066,9303,0
Set4,3,Modified,7,135.68105586237908,185213.05549740512,2806,1239,951,1010,391,421218,600,14
Set4,3,Regular,7,896.1000000001352,209216.78779279426,20060,8332,6310,6356,2390,327148,4355,0
Set5,4,Modified,7,118.4169343676987,182449.86729821935,2473,1102,802,835,327,399038,573,15
Set5,4,Regular,7,1034.8333140323948,204389.93804827458,18608,9562,5925,5955,2095,324269,5696,0
